date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:27:41	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:41%20GMT	https://pavlolevchukknm201.wixsite.com/e78a13b3.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/e78a13b3.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:42	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:41%20GMT	https://pavlolevchukknm201.wixsite.com/b604fd33.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/b604fd33.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:42	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:41%20GMT	https://pavlolevchukknm201.wixsite.com/48c6d58d.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/48c6d58d.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:42	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:42%20GMT	https://pavlolevchukknm201.wixsite.com/439c90c8.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/439c90c8.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:42	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:42%20GMT	https://pavlolevchukknm201.wixsite.com/cd69f57c.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/cd69f57c.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:43	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:42%20GMT	https://pavlolevchukknm201.wixsite.com/bc223d50.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/bc223d50.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:43	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:43%20GMT	https://pavlolevchukknm201.wixsite.com/bc2466c0.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/bc2466c0.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:43	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:43%20GMT	https://pavlolevchukknm201.wixsite.com/5d7b6bbf.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/5d7b6bbf.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:44	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:43%20GMT	https://pavlolevchukknm201.wixsite.com/3fdab364.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/3fdab364.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:44	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:44%20GMT	https://pavlolevchukknm201.wixsite.com/20d93486.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/20d93486.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
